DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,PSUN,SNOW,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WSF1,WSF2,WSF5,WSFG,WSFM
1939-05,,31,31,6,3,0,0,0,0,0,10,1,39,0,0,0.55,90,5856,298,1.29,,0,56.4,64.8,48,,,,,,,,,,,
1939-06,,113,81,10,8,0,0,0,0,0,20,0,52,0,0,0.7,88,5918,62,2.7,,0,65.6,73.1,58.2,,,,,,,,,,,
1939-07,,338,225,4,2,0,0,0,0,0,31,5,56,0,0,0.37,93,0,0,0.75,,0,72.3,81,63.6,,,,,,,,,,,
1939-08,,614,276,9,6,0,0,0,0,0,29,2,60,0,0,0.56,92,2,2,2.14,,0,73.8,81.5,66.1,,,,,,,,,,,
1939-09,,686,72,7,5,0,0,0,0,0,21,2,45,0,0,0.25,96,89,87,1.01,,0,64.5,73.4,55.5,,,,,,,,,,,
1939-10,,700,14,12,6,0,0,0,3,0,8,0,31,0,0,2.54,87,440,351,4.78,,0,54.1,63,45.2,,,,,,,,,,,
1939-11,,700,0,2,2,1,1,0,14,0,0,0,21,1,1,1.01,61,1168,727,1.14,,1,40.7,48.5,33,,,,,,,,,,,
1939-12,,700,0,8,6,3,1,0,20,7,0,0,6,6,5.8,0.96,57,2147,979,2.91,,6.5,33.4,40.5,26.4,,,,,,,,,,,
1940-01,,0,0,9,3,17,2,0,28,21,0,0,8,3,2,0.97,52,3449,1302,1.67,,4.6,23,29.6,16.4,,,,,,,,,,,
1940-02,,0,0,11,8,16,5,0,27,7,0,0,10,13,11,1.35,47,4476,1027,4.75,,23.8,29.6,36,23.2,,,,,,,,,,,
1940-03,,0,0,11,6,15,0,0,26,5,0,0,14,5,0.3,1.21,60,5464,988,3.83,,0.3,33.1,39.5,26.7,,,,,,,,,,,
1940-04,,0,0,13,9,0,1,0,4,0,1,0,26,0,1.5,0.84,75,6107,643,4.58,,1.5,43.6,50.6,36.5,,,,,,,,,,,
1940-05,,0,0,14,11,0,0,0,0,0,9,0,43,0,0,1.33,75,6378,271,3.27,,0,56.3,63.7,48.8,,,,,,,,,,,
1940-06,,76,76,13,7,0,0,0,0,0,18,1,46,0,0,0.45,90,6451,73,1.81,,0,65.1,73.5,56.7,,,,,,,,,,,
1940-07,,292,216,12,6,0,0,0,0,0,29,6,55,0,0,1.48,95,13,13,3.17,,0,71.5,79.9,63.2,,,,,,,,,,,
1940-08,,430,138,7,2,0,0,0,0,0,25,0,46,0,0,0.48,86,44,31,0.85,,0,68.4,76.6,60.3,,,,,,,,,,,
1940-09,,490,60,11,7,0,0,0,0,0,17,0,42,0,0,1.11,86,155,111,2.32,,0,63.3,71.3,55.3,,,,,,,,,,,
1940-10,,493,3,9,2,0,0,0,5,0,5,0,28,0,0,0.37,77,606,450,0.76,,0,50.6,58.7,42.4,,,,,,,,,,,
1940-11,,493,0,13,6,4,1,0,8,0,1,0,17,7,8,1.32,71,1269,663,6.23,,8.5,42.9,49.5,36.3,,,,,,,,,,,
1940-12,,493,0,13,6,6,2,0,22,5,0,0,2,4,3.5,1.02,58,2220,951,2.76,,4.5,34.3,41.9,26.7,,,,,,,,,,,
1941-01,,0,0,9,5,22,4,0,30,18,0,0,3,12,8.5,1.03,48,3451,1231,4.22,,20.4,25.3,31.7,18.9,,,,,,,,,,,
1941-02,,0,0,6,2,12,1,0,27,8,0,0,8,8,1.3,1.27,47,4449,998,1.7,,1.9,29.4,36.4,22.3,,,,,,,,,,,
1941-03,,0,0,13,5,16,2,0,23,3,0,0,12,9,8.2,1.75,56,5430,980,3.4,,12.5,33.4,40.5,26.2,,,,,,,,,,,
1941-04,,6,6,8,4,0,0,0,1,0,10,0,32,0,0,0.7,89,5839,409,1.7,,0,51.6,60.7,42.4,,,,,,,,,,,
1941-05,,46,40,13,6,0,0,0,0,0,15,2,36,0,0,0.71,92,6038,200,2.43,,0,59.8,69.2,50.5,,,,,,,,,,,
1941-06,,200,154,12,9,0,0,0,0,0,20,8,50,0,0,1.31,96,6098,60,4.29,,0,68.2,77.2,59.1,,,,,,,,,,,
1941-07,,405,204,14,5,0,0,0,0,0,27,3,57,0,0,1.37,96,6,6,2.91,,0,71.4,79.1,63.8,,,,,,,,,,,
1941-08,,588,183,7,3,0,0,0,0,0,29,3,53,0,0,0.66,94,16,10,1.55,,0,70.6,79.9,61.3,,,,,,,,,,,
1941-09,,706,118,3,1,0,0,0,0,0,21,2,40,0,0,1.09,94,104,88,1.18,,0,66,76.2,55.8,,,,,,,,,,,
1941-10,,724,18,12,5,0,0,0,2,0,10,0,29,0,0,0.46,84,404,300,1.93,,0,55.9,64.7,47.1,,,,,,,,,,,
1941-11,,724,0,8,4,0,0,0,6,0,2,0,26,0,0,1.33,75,914,510,2.4,,0,48,56.7,39.3,,,,,,,,,,,
1941-12,,724,0,9,4,0,0,0,21,6,0,0,7,0,0.2,1.65,59,1838,925,3.19,,0.2,35.2,42.6,27.8,,,,,,,,,,,
1942-01,,0,0,7,5,11,2,0,26,9,0,0,1,5,4.5,1.81,60,2968,1130,3.69,,8.2,28.6,36.4,20.7,,,,,,,,,,,
1942-02,,0,0,7,6,2,2,0,27,11,0,0,1,3,4.1,1.39,48,4025,1057,3.44,,6.2,27.2,34.3,20.2,,,,,,,,,,,
1942-03,,0,0,11,10,3,4,0,7,0,0,0,30,2,3.8,1.48,65,4776,750,7,,7.8,40.8,47.3,34.3,,,,,,,,,,,
1942-04,,7,7,11,6,0,1,0,2,0,6,0,32,0,1.5,0.52,86,5241,466,1.6,,1.5,49.7,58.5,40.9,,,,,,,,,,,
1942-05,,41,34,10,6,0,0,0,0,0,15,0,44,0,0,0.67,88,5407,166,2.11,,0,60.7,69.4,52,,,,,,,,,,,
1942-06,,174,133,16,9,0,0,0,0,0,21,1,48,0,0,1.54,91,5468,60,4.24,,0,67.4,75.4,59.4,,,,,,,,,,,
1942-07,,367,192,12,7,0,0,0,0,0,28,2,58,0,0,1.11,93,2,2,4.14,,0,71.1,78.8,63.4,,,,,,,,,,,
1942-08,,566,200,7,4,0,0,0,0,0,26,2,50,0,0,0.69,92,25,22,2.09,,0,70.7,78.4,63,,,,,,,,,,,
1942-09,,655,89,11,4,0,0,0,0,0,18,1,39,0,0,1.1,91,128,103,1.97,,0,64.5,72.2,56.9,,,,,,,,,,,
1942-10,,659,4,10,5,0,0,0,0,0,7,0,36,0,0,1.11,82,416,288,2.78,,0,55.8,63.5,48.1,,,,,,,,,,,
1942-11,,659,0,11,9,0,0,0,10,1,2,0,20,0,0,0.98,71,1061,645,4.69,,0,43.5,51,36,,,,,,,,,,,
1942-12,,659,0,11,7,8,2,4,24,8,0,0,-11,4,3.8,1.57,59,2190,1130,4.72,,6.8,28.6,35.4,21.7,,,,,,,,,,,
1943-01,,0,0,13,8,18,6,0,31,16,0,0,3,18,10.5,1.29,47,3416,1226,3.74,,26.4,25.5,31.6,19.3,,,,,,,,,,,
1943-02,,0,0,10,6,15,2,2,20,8,0,0,-14,13,2.5,0.33,63,4380,965,1.23,,4.5,30.5,38.7,22.4,,,,,,,,,,,
1943-03,,0,0,11,6,4,2,0,20,4,0,0,6,4,4.2,2.15,68,5281,900,4.03,,8,36,43.5,28.4,,,,,,,,,,,
1943-04,,0,0,15,8,0,0,0,9,0,2,0,20,0,0,0.46,75,5930,649,2.65,,0,43.4,51.5,35.2,,,,,,,,,,,
1943-05,,14,14,16,11,0,0,0,0,0,12,0,35,0,0,0.94,85,6174,244,4.56,,0,57.6,65.7,49.4,,,,,,,,,,,
1943-06,,215,201,11,4,0,0,0,0,0,28,7,49,0,0,0.62,97,6192,17,1.5,,0,71.1,81.4,60.9,,,,,,,,,,,
1943-07,,500,285,10,7,0,0,0,0,0,30,6,53,0,0,0.96,93,4,4,3.92,,0,74.1,82.7,65.5,,,,,,,,,,,
1943-08,,692,191,9,2,0,0,0,0,0,27,4,56,0,0,0.7,94,11,7,1.28,,0,71,78.9,63.1,,,,,,,,,,,
1943-09,,747,55,8,4,0,0,0,0,0,14,0,44,0,0,0.41,85,127,117,1.41,,0,62.9,70.6,55.3,,,,,,,,,,,
1943-10,,751,4,13,8,0,0,0,0,0,6,0,35,0,0,1.95,81,465,338,4.82,,0,53.8,60.9,46.7,,,,,,,,,,,
1943-11,,751,0,12,7,0,0,0,9,0,0,0,24,0,0,0.5,67,1116,650,2.16,,0,43.3,50.1,36.5,,,,,,,,,,,
1943-12,,751,0,7,3,0,0,1,25,6,0,0,0,0,0.3,0.59,52,2216,1100,1,,0.3,29.5,37.9,21.2,,,,,,,,,,,
1944-01,,0,0,8,4,7,3,0,23,5,0,0,6,3,2.1,1.16,58,3271,1056,2.03,,5.1,30.9,37.1,24.8,,,,,,,,,,,
1944-02,,0,0,11,6,6,3,0,23,8,0,0,7,8,6.8,0.5,55,4298,1026,2.15,,9.6,29.6,37.7,21.5,,,,,,,,,,,
1944-03,,0,0,11,9,5,2,0,21,6,0,0,10,9,10.2,1.17,64,5256,958,3.92,,12.8,34.1,41.4,26.7,,,,,,,,,,,
1944-04,,0,0,10,5,0,0,0,5,0,1,0,29,0,0,1.83,75,5866,610,3.52,,0,44.7,51.8,37.5,,,,,,,,,,,
