DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,PSUN,SNOW,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WSF1,WSF2,WSF5,WSFG,WSFM
1933-05,,304,285,8,7,0,0,0,0,0,31,5,53,0,0,0.91,91,2790,3,3.22,,0,74.1,83.4,64.7,,,,,,,,,,,
1933-06,,694,390,7,6,0,0,0,0,0,30,16,56,0,0,2.52,99,2790,0,5.65,,0,78,88.3,67.7,,,,,,,,,,,
1933-07,,1077,382,17,10,0,0,0,0,0,31,8,59,0,0,0.57,94,0,0,3.22,,0,77.3,85.8,68.9,,,,,,,,,,,
1933-08,,1461,384,10,6,0,0,0,0,0,31,6,62,0,0,0.75,93,0,0,1.81,,0,77.4,86,68.8,,,,,,,,,,,
1933-09,,1837,376,7,4,0,0,0,0,0,30,7,57,0,0,0.48,93,0,0,1.26,,0,77.5,86.8,68.3,,,,,,,,,,,
1933-10,,1882,45,6,5,0,0,0,0,0,22,0,42,0,0,1.21,86,83,83,2.44,,0,63.8,72.4,55.1,,,,,,,,,,,
1933-11,,1888,6,5,3,0,0,0,4,0,8,0,26,0,0,0.47,76,490,407,0.8,,0,51.6,60.9,42.3,,,,,,,,,,,
1933-12,,1892,4,12,5,0,0,0,4,0,6,0,22,0,0,1.39,75,901,410,2.47,,0,51.9,60.2,43.6,,,,,,,,,,,
1934-01,,0,0,9,5,0,0,0,6,1,0,0,7,0,0,0.83,68,1512,612,2.72,,0,45.3,52.7,37.8,,,,,,,,,,,
1934-02,,0,0,9,7,2,1,0,16,2,0,0,13,4,4,2.08,66,2213,701,4.65,,4,40,49,30.9,,,,,,,,,,,
1934-03,,0,0,8,4,0,0,0,9,0,6,0,20,0,0.5,1.98,76,2667,454,4.07,,0.5,50.4,61,39.7,,,,,,,,,,,
1934-04,,36,36,10,9,0,0,0,0,0,18,0,36,0,0,0.96,84,2832,165,3.08,,0,60.7,70.2,51.1,,,,,,,,,,,
