-31.4512,-178.1953,37.76,5,mb,us6000jj6h,us
-6.1056,155.1407,158.785,4.8,mww,us6000jj6a,us
44.9052,80.9957,10,4.1,mb,us6000jj63,us
55.754,-158.5617,56.2,2.5,ml,ak02315kagu7,ak
41.2102,84.2142,10,4.6,mb,us6000jj5y,us
-5.5069,153.6635,42.747,4.6,mb,us6000jj5v,us
35.7757,28.5931,25.889,5.9,mww,us6000jj5k,us
19.16583333,-155.502,35.05,2.74,md,hv73312562,hv
-20.2971,-177.6661,494.538,4.4,mb,us6000jj4m,us
18.3958,-68.8306,140,3.84,md,pr2023025003,pr
33.8978333,-118.6956667,13.44,2.75,ml,ci40161431,ci
33.883,-118.6923333,10.98,2.9,ml,ci40161407,ci
33.8863333,-118.7026667,13.83,3.61,ml,ci40161287,ci
35.8515,-97.19116667,7.98,3.53,ml,ok2023bspx,ok
33.885,-118.7045,14.71,4.19,mw,ci40161279,ci
-3.4826,-80.7592,34.065,4.4,mb,us6000jj3z,us
19.14716667,-155.369,30.36,3.59,ml,hv73312432,hv
19.4056,-65.8381,27,3.9,md,pr2023025002,pr
37.5478333,-118.8758333,6.66,2.55,md,nc73836951,nc
19.22716713,-155.423996,31.93000031,2.69000006,md,hv73312382,hv
18.5828,-66.7998,13,3.63,md,pr2023025001,pr
18.1205,-67.13883333,12.09,2.99,md,pr71394363,pr
12.9459,-88.7273,67.408,4.6,mwr,us6000jj31,us
41.5,-112.1718333,6.87,2.79,ml,uu60530292,uu
-26.3612,-71.3386,19.321,4.3,mb,us6000jj2x,us
18.43,-66.3895,112,3.68,md,pr2023025000,pr
56.3377,114.3667,10,4,mb,us6000jj2v,us
9.2148,126.5496,35,4.6,mb,us6000jj2r,us
40.5713333,-124.2338333,9.23,2.53,md,nc73836866,nc
59.0989,-153.6504,101.3,3.1,ml,ak02315d4dt4,ak
34.7861,14.2138,10,4.1,mb,us6000jj2f,us
37.5881,141.6819,45.602,4.8,mwr,us6000jj1u,us
19.26916695,-155.4111633,32.86999893,2.5,ml,hv73312127,hv
18.86466667,-65.3465,11.06,3.18,md,pr71394323,pr
